Attribute,Type,Operators,Description
rcsb_polymer_entity_annotation.annotation_lineage.name,string,in exact_match contains_phrase contains_words exists,Members of the annotation lineage as parent class names.
rcsb_polymer_entity_container_identifiers.chem_comp_monomers,string,in exact_match exists,Unique list of monomer chemical component identifiers in the polymer entity in this container.
rcsb_polymer_entity_container_identifiers.chem_ref_def_id,string,in exact_match exists,The chemical reference definition identifier for the entity in this container.
rcsb_polymer_entity_container_identifiers.entry_id,string,in exact_match exists,Entry identifier for the container.
rcsb_polymer_entity_container_identifiers.prd_id,string,in exact_match exists,The BIRD identifier for the entity in this container.
rcsb_polymer_entity_container_identifiers.rcsb_id,string,in exact_match exists,A unique identifier for each object in this entity container formed by  an underscore separated concatenation of entry and entity identifiers.
rcsb_polymer_entity_container_identifiers.reference_sequence_identifiers.database_accession,string,in exact_match exists,Reference database accession code
rcsb_polymer_entity_container_identifiers.reference_sequence_identifiers.database_isoform,string,in exact_match exists,Reference database identifier for the sequence isoform
rcsb_polymer_entity_container_identifiers.reference_sequence_identifiers.database_name,string,in exact_match exists,"Reference database name Allowed Values: EMBL, GenBank, NDB, NORINE, PDB, PIR, PRF, RefSeq, UniProt"
rcsb_polymer_entity_container_identifiers.reference_sequence_identifiers.entity_sequence_coverage,number,equals greater less greater_or_equal less_or_equal range exists,Indicates what fraction of this polymer entity sequence is covered by the reference sequence.
rcsb_polymer_entity_container_identifiers.reference_sequence_identifiers.reference_sequence_coverage,number,equals greater less greater_or_equal less_or_equal range exists,Indicates what fraction of the reference sequence is covered by this polymer entity sequence.
rcsb_polymer_entity_feature_summary.count,integer,equals greater less greater_or_equal less_or_equal range exists,The feature count.
rcsb_polymer_entity_feature_summary.coverage,number,equals greater less greater_or_equal less_or_equal range exists,"The fractional feature coverage relative to the full entity sequence.  For instance, the fraction of features such as mutations, artifacts or modified monomers  relative to the length of the entity sequence."
rcsb_polymer_entity_feature_summary.maximum_length,integer,equals greater less greater_or_equal less_or_equal range exists,The maximum feature length.
rcsb_polymer_entity_feature_summary.minimum_length,integer,equals greater less greater_or_equal less_or_equal range exists,The minimum feature length.
rcsb_polymer_entity_feature_summary.type,string,in exact_match exists,"Type or category of the feature. Allowed Values: CARD_MODEL, IMGT_ANTIBODY_DESCRIPTION, IMGT_ANTIBODY_DOMAIN_NAME, IMGT_ANTIBODY_GENE_ALLELE_NAME, IMGT_ANTIBODY_ORGANISM_NAME, IMGT_ANTIBODY_PROTEIN_NAME, IMGT_ANTIBODY_RECEPTOR_DESCRIPTION, IMGT_ANTIBODY_RECEPTOR_TYPE, Pfam, SABDAB_ANTIBODY_ANTIGEN_NAME, SABDAB_ANTIBODY_NAME, SABDAB_ANTIBODY_TARGET, artifact, modified_monomer, mutation"
rcsb_polymer_entity_keywords.text,string,contains_phrase contains_words exists,Keywords describing this polymer entity.
rcsb_polymer_entity_name_com.name,string,contains_phrase contains_words exists,A common name for the polymer entity.
rcsb_polymer_entity_name_sys.name,string,contains_phrase contains_words exists,The systematic name for the polymer entity.
rcsb_polymer_entity_group_membership.group_id,string,in exact_match exists,A unique identifier for a group of entities
rcsb_polymer_entity_group_membership.aggregation_method,string,in exact_match exists,"Method used to establish group membership Allowed Values: sequence_identity, matching_uniprot_accession"
rcsb_polymer_entity_group_membership.similarity_cutoff,number,equals greater less greater_or_equal less_or_equal range exists,Degree of similarity expressed as a floating-point number
rcsb_genomic_lineage.id,string,in exact_match exists,"Automatically assigned ID that uniquely identifies taxonomy, chromosome or gene in the Genome Location Browser."
rcsb_membrane_lineage.id,string,in exact_match exists,Automatically assigned ID for membrane classification term in the Membrane Protein Browser.
rcsb_membrane_lineage.name,string,in exact_match exists,Membrane protein classification term.
rcsb_membrane_lineage.depth,integer,equals greater less greater_or_equal less_or_equal range exists,Hierarchy depth.
pdbx_struct_assembly.details,string,contains_phrase contains_words exists,"A description of special aspects of the macromolecular assembly.  In the PDB, 'representative helical assembly', 'complete point assembly',  'complete icosahedral assembly', 'software_defined_assembly', 'author_defined_assembly',  and 'author_and_software_defined_assembly' are considered ""biologically relevant assemblies."
pdbx_struct_assembly.oligomeric_details,string,contains_phrase contains_words exists,Provides the details of the oligomeric state of the assembly.
pdbx_struct_assembly.rcsb_details,string,contains_phrase contains_words exists,"A filtered description of the macromolecular assembly. Allowed Values: author_and_software_defined_assembly, author_defined_assembly, software_defined_assembly"
pdbx_struct_assembly_auth_evidence.details,string,contains_phrase contains_words exists,Provides any additional information regarding the evidence of this assembly
pdbx_struct_assembly_auth_evidence.experimental_support,string,in exact_match exists,"Provides the experimental method to determine the state of this assembly Allowed Values: NMR Distance Restraints, NMR relaxation study, SAXS, assay for oligomerization, cross-linking, electron microscopy, equilibrium centrifugation, fluorescence resonance energy transfer, gel filtration, homology, immunoprecipitation, isothermal titration calorimetry, light scattering, mass spectrometry, microscopy, native gel electrophoresis, none, scanning transmission electron microscopy, surface plasmon resonance"
rcsb_assembly_container_identifiers.assembly_id,string,in exact_match exists,Assembly identifier for the container.
rcsb_assembly_container_identifiers.entry_id,string,in exact_match exists,Entry identifier for the container.
rcsb_assembly_container_identifiers.rcsb_id,string,in exact_match exists,A unique identifier for each object in this assembly container formed by  a dash separated concatenation of entry and assembly identifiers.
rcsb_assembly_info.atom_count,integer,equals greater less greater_or_equal less_or_equal range exists,The assembly non-hydrogen atomic coordinate count.
rcsb_assembly_info.branched_atom_count,integer,equals greater less greater_or_equal less_or_equal range exists,The assembly non-hydrogen branched entity atomic coordinate count.
rcsb_assembly_info.branched_entity_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct branched entities in the generated assembly.
rcsb_assembly_info.branched_entity_instance_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of branched instances in the generated assembly data set.  This is the total count of branched entity instances generated in the assembly coordinate data.
rcsb_assembly_info.deuterated_water_count,integer,equals greater less greater_or_equal less_or_equal range exists,The assembly deuterated water molecule count.
rcsb_assembly_info.hydrogen_atom_count,integer,equals greater less greater_or_equal less_or_equal range exists,The assembly hydrogen atomic coordinate count.
rcsb_assembly_info.modeled_polymer_monomer_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of modeled polymer monomers in the assembly coordinate data.  This is the total count of monomers with reported coordinate data for all polymer  entity instances in the generated assembly coordinate data.
rcsb_assembly_info.na_polymer_entity_types,string,in exact_match exists,"Nucleic acid polymer entity type categories describing the generated assembly. Allowed Values: DNA (only), DNA/RNA (only), NA-hybrid (only), Other, RNA (only)"
rcsb_assembly_info.nonpolymer_atom_count,integer,equals greater less greater_or_equal less_or_equal range exists,The assembly non-hydrogen non-polymer entity atomic coordinate count.
rcsb_assembly_info.nonpolymer_entity_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct non-polymer entities in the generated assembly exclusive of solvent.
rcsb_assembly_info.nonpolymer_entity_instance_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of non-polymer instances in the generated assembly data set exclusive of solvent.  This is the total count of non-polymer entity instances generated in the assembly coordinate data.
rcsb_assembly_info.polymer_atom_count,integer,equals greater less greater_or_equal less_or_equal range exists,The assembly non-hydrogen polymer entity atomic coordinate count.
rcsb_assembly_info.polymer_composition,string,in exact_match exists,"Categories describing the polymer entity composition for the generated assembly. Allowed Values: DNA, DNA/RNA, NA-hybrid, NA/oligosaccharide, RNA, heteromeric protein, homomeric protein, oligosaccharide, other, other type composition, other type pair, protein/NA, protein/NA/oligosaccharide, protein/oligosaccharide"
rcsb_assembly_info.polymer_entity_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct polymer entities in the generated assembly.
rcsb_assembly_info.polymer_entity_count_DNA,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct DNA polymer entities in the generated assembly.
rcsb_assembly_info.polymer_entity_count_RNA,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct RNA polymer entities in the generated assembly.
rcsb_assembly_info.polymer_entity_count_nucleic_acid,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct nucleic acid polymer entities (DNA or RNA) in the generated assembly.
rcsb_assembly_info.polymer_entity_count_nucleic_acid_hybrid,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct hybrid nucleic acid polymer entities in the generated assembly.
rcsb_assembly_info.polymer_entity_count_protein,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct protein polymer entities in the generated assembly.
rcsb_assembly_info.polymer_entity_instance_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of polymer instances in the generated assembly data set.  This is the total count of polymer entity instances generated in the assembly coordinate data.
rcsb_assembly_info.polymer_entity_instance_count_DNA,integer,equals greater less greater_or_equal less_or_equal range exists,The number of DNA polymer instances in the generated assembly data set.  This is the total count of DNA polymer entity instances generated in the assembly coordinate data.
rcsb_assembly_info.polymer_entity_instance_count_RNA,integer,equals greater less greater_or_equal less_or_equal range exists,The number of RNA polymer instances in the generated assembly data set.  This is the total count of RNA polymer entity instances generated in the assembly coordinate data.
rcsb_assembly_info.polymer_entity_instance_count_nucleic_acid,integer,equals greater less greater_or_equal less_or_equal range exists,The number of nucleic acid polymer instances in the generated assembly data set.  This is the total count of nucleic acid polymer entity instances generated in the assembly coordinate data.
rcsb_assembly_info.polymer_entity_instance_count_nucleic_acid_hybrid,integer,equals greater less greater_or_equal less_or_equal range exists,The number of hybrid nucleic acide polymer instances in the generated assembly data set.  This is the total count of hybrid nucleic acid polymer entity instances generated in the assembly coordinate data.
rcsb_assembly_info.polymer_entity_instance_count_protein,integer,equals greater less greater_or_equal less_or_equal range exists,The number of protein polymer instances in the generated assembly data set.  This is the total count of protein polymer entity instances generated in the assembly coordinate data.
rcsb_assembly_info.polymer_monomer_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of polymer monomers in sample entity instances comprising the assembly data set.  This is the total count of monomers for all polymer entity instances  in the generated assembly coordinate data.
rcsb_assembly_info.selected_polymer_entity_types,string,in exact_match exists,"Selected polymer entity type categories describing the generated assembly. Allowed Values: Nucleic acid (only), Other, Protein (only), Protein/NA"
rcsb_assembly_info.solvent_atom_count,integer,equals greater less greater_or_equal less_or_equal range exists,The assembly non-hydrogen solvent atomic coordinate count.
rcsb_assembly_info.solvent_entity_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct solvent entities in the generated assembly.
rcsb_assembly_info.solvent_entity_instance_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of solvent instances in the generated assembly data set.  This is the total count of solvent entity instances generated in the assembly coordinate data.
rcsb_assembly_info.unmodeled_polymer_monomer_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of unmodeled polymer monomers in the assembly coordinate data. This is  the total count of monomers with unreported coordinate data for all polymer  entity instances in the generated assembly coordinate data.
rcsb_struct_symmetry.symbol,string,in exact_match exists,"Symmetry symbol refers to point group or helical symmetry of identical polymeric subunits in Schönflies notation. Contains point group symbol (e.g., C2, C5, D2, T, O, I) or H for helical symmetry."
rcsb_struct_symmetry.type,string,in exact_match exists,"Symmetry type refers to point group or helical symmetry of identical polymeric subunits. Contains point group types (e.g. Cyclic, Dihedral) or Helical for helical symmetry. Allowed Values: Asymmetric, Cyclic, Dihedral, Tetrahedral, Octahedral, Icosahedral, Helical"
rcsb_struct_symmetry.oligomeric_state,string,in exact_match exists,"Oligomeric state refers to a composition of polymeric subunits in quaternary structure. Quaternary structure may be composed either exclusively of several copies of identical subunits, in which case they are termed homo-oligomers, or alternatively by at least one copy of different subunits (hetero-oligomers). Quaternary structure composed of a single subunit is denoted as 'Monomer'."
rcsb_struct_symmetry.clusters.avg_rmsd,number,equals greater less greater_or_equal less_or_equal range exists,Average RMSD between members of a given cluster.
rcsb_struct_symmetry.kind,string,in exact_match exists,"The granularity at which the symmetry calculation is performed. In 'Global Symmetry' all polymeric subunits in assembly are used. In 'Local Symmetry' only a subset of polymeric subunits is considered. In 'Pseudo Symmetry' the threshold for subunits similarity is relaxed. Allowed Values: Global Symmetry, Pseudo Symmetry, Local Symmetry"
rcsb_struct_symmetry_lineage.id,string,in exact_match exists,Automatically assigned ID to uniquely identify the symmetry term in the Protein Symmetry Browser.
rcsb_struct_symmetry_lineage.name,string,in exact_match exists,A human-readable term describing protein symmetry.
rcsb_struct_symmetry_lineage.depth,integer,equals greater less greater_or_equal less_or_equal range exists,Hierarchy depth.
rcsb_assembly_annotation.annotation_id,string,in exact_match exists,An identifier for the annotation.
rcsb_assembly_annotation.name,string,in exact_match contains_phrase contains_words exists,A name for the annotation.
rcsb_assembly_annotation.type,string,in exact_match exists,A type or category of the annotation. Allowed Values: MCSA
rcsb_repository_holdings_current.repository_content_types,string,in exact_match exists,"The list of content types associated with this entry. Allowed Values: 2fo-fc Map, Combined NMR data (NEF), Combined NMR data (NMR-STAR), FASTA sequence, Map Coefficients, NMR chemical shifts, NMR restraints V1, NMR restraints V2, assembly PDB, assembly mmCIF, entry PDB, entry PDB bundle, entry PDBML, entry mmCIF, fo-fc Map, structure factors, validation data mmCIF, validation report, validation slider image"
rcsb_nonpolymer_entity_instance_container_identifiers.asym_id,string,in exact_match exists,Instance identifier for this container.
rcsb_nonpolymer_entity_instance_container_identifiers.auth_asym_id,string,in exact_match exists,Author instance identifier for this container.
rcsb_nonpolymer_entity_instance_container_identifiers.comp_id,string,in exact_match exists,Component identifier for non-polymer entity instance.
rcsb_nonpolymer_entity_instance_container_identifiers.entity_id,string,in exact_match exists,Entity identifier for the container.
rcsb_nonpolymer_entity_instance_container_identifiers.entry_id,string,in exact_match exists,Entry identifier for the container.
rcsb_nonpolymer_entity_instance_container_identifiers.rcsb_id,string,in exact_match exists,A unique identifier for each object in this entity instance container formed by  an 'dot' (.) separated concatenation of entry and entity instance identifiers.
rcsb_nonpolymer_instance_annotation.annotation_id,string,in exact_match exists,An identifier for the annotation.
rcsb_nonpolymer_instance_annotation.comp_id,string,in exact_match exists,Non-polymer (ligand) chemical component identifier.
rcsb_nonpolymer_instance_annotation.description,string,in exact_match contains_phrase contains_words exists,A description for the annotation.
rcsb_nonpolymer_instance_annotation.name,string,in exact_match contains_phrase contains_words exists,A name for the annotation.
rcsb_nonpolymer_instance_annotation.type,string,in exact_match exists,"A type or category of the annotation. Allowed Values: HAS_COVALENT_LINKAGE, HAS_METAL_COORDINATION_LINKAGE, HAS_NO_COVALENT_LINKAGE"
rcsb_nonpolymer_instance_annotation.annotation_lineage.depth,integer,equals greater less greater_or_equal less_or_equal range exists,Members of the annotation lineage as parent lineage depth (1-N)
rcsb_nonpolymer_instance_annotation.annotation_lineage.id,string,in exact_match exists,Members of the annotation lineage as parent class identifiers.
rcsb_nonpolymer_instance_annotation.annotation_lineage.name,string,in exact_match contains_phrase contains_words exists,Members of the annotation lineage as parent class names.
rcsb_nonpolymer_instance_feature_summary.comp_id,string,in exact_match exists,Component identifier for non-polymer entity instance.
rcsb_nonpolymer_instance_feature_summary.count,integer,equals greater less greater_or_equal less_or_equal range exists,The feature count.
rcsb_nonpolymer_instance_feature_summary.type,string,in exact_match exists,"Type or category of the feature. Allowed Values: HAS_COVALENT_LINKAGE, HAS_METAL_COORDINATION_LINKAGE, MOGUL_ANGLE_OUTLIER, MOGUL_BOND_OUTLIER, RSCC_OUTLIER, RSRZ_OUTLIER, STEREO_OUTLIER"
rcsb_nonpolymer_instance_validation_score.RSCC,number,equals greater less greater_or_equal less_or_equal range exists,The real space correlation coefficient (RSCC) for the non-polymer entity instance.
rcsb_nonpolymer_instance_validation_score.RSR,number,equals greater less greater_or_equal less_or_equal range exists,The real space R-value (RSR) for the non-polymer entity instance.
rcsb_nonpolymer_instance_validation_score.intermolecular_clashes,integer,equals greater less greater_or_equal less_or_equal range exists,The number of intermolecular MolProbity clashes cacluated for reported atomic coordinate records.
rcsb_nonpolymer_instance_validation_score.is_best_instance,string,in exact_match exists,"This molecular instance is ranked as the best quality instance of this nonpolymer entity. Allowed Values: N, Y"
rcsb_nonpolymer_instance_validation_score.is_subject_of_investigation,string,in exact_match exists,"This molecular entity is identified as the subject of the current study. Allowed Values: N, Y"
rcsb_nonpolymer_instance_validation_score.mogul_angle_outliers,integer,equals greater less greater_or_equal less_or_equal range exists,Number of bond angle outliers obtained from a CCDC Mogul survey of bond angles in the CSD small  molecule crystal structure database. Outliers are defined as bond angles that have a Z-score  less than -2 or greater than 2.
rcsb_nonpolymer_instance_validation_score.mogul_angles_RMSZ,number,equals greater less greater_or_equal less_or_equal range exists,The root-mean-square value of the Z-scores of bond angles for the residue in degrees obtained from a CCDC Mogul survey of bond angles in the CSD small molecule crystal structure database.
rcsb_nonpolymer_instance_validation_score.mogul_bond_outliers,integer,equals greater less greater_or_equal less_or_equal range exists,Number of bond distance outliers obtained from a CCDC Mogul survey of bond lengths in the CSD small  molecule crystal structure database. Outliers are defined as bond distances that have a Z-score  less than -2 or greater than 2.
rcsb_nonpolymer_instance_validation_score.mogul_bonds_RMSZ,number,equals greater less greater_or_equal less_or_equal range exists,The root-mean-square value of the Z-scores of bond lengths for the residue in Angstroms obtained from a CCDC Mogul survey of bond lengths in the CSD small molecule crystal structure database.
rcsb_nonpolymer_instance_validation_score.ranking_model_fit,number,equals greater less greater_or_equal less_or_equal range exists,The ranking of the model fit score component.
rcsb_nonpolymer_instance_validation_score.ranking_model_geometry,number,equals greater less greater_or_equal less_or_equal range exists,The ranking of the model geometry score component.
rcsb_nonpolymer_instance_validation_score.stereo_outliers,integer,equals greater less greater_or_equal less_or_equal range exists,Number of stereochemical/chirality errors.
rcsb_target_neighbors.distance,number,equals greater less greater_or_equal less_or_equal range exists,Distance value for this target interaction.
rcsb_target_neighbors.target_asym_id,string,in exact_match exists,The entity instance identifier for the target of interaction.
rcsb_target_neighbors.target_comp_id,string,in exact_match exists,The chemical component identifier for the target of interaction.
rcsb_target_neighbors.target_entity_id,string,in exact_match exists,The entity identifier for the target of interaction.
rcsb_target_neighbors.target_is_bound,string,in exact_match exists,"A flag to indicate the nature of the target interaction is covalent or metal-coordination. Allowed Values: N, Y"
rcsb_uniprot_container_identifiers.reference_sequence_identifiers.database_accession,string,in exact_match exists,Reference database accession code
rcsb_uniprot_container_identifiers.reference_sequence_identifiers.database_isoform,string,in exact_match exists,Reference database identifier for the sequence isoform
rcsb_uniprot_container_identifiers.reference_sequence_identifiers.database_name,string,in exact_match exists,Reference database name
rcsb_uniprot_protein.name.value,string,in exact_match contains_phrase contains_words exists,Name that allows to unambiguously identify a protein.
rcsb_uniprot_annotation.annotation_id,string,in exact_match exists,An identifier for the annotation.
rcsb_uniprot_annotation.description,string,in exact_match contains_phrase contains_words exists,A description for the annotation.
rcsb_uniprot_annotation.name,string,in exact_match contains_phrase contains_words exists,A name for the annotation.
rcsb_uniprot_annotation.type,string,in exact_match exists,"A type or category of the annotation. Allowed Values: disease, phenotype, GO, InterPro"
rcsb_uniprot_annotation.annotation_lineage.depth,integer,equals greater less greater_or_equal less_or_equal range exists,Members of the annotation lineage as parent lineage depth (1-N)
rcsb_uniprot_annotation.annotation_lineage.id,string,in exact_match exists,Members of the annotation lineage as parent class identifiers.
rcsb_uniprot_annotation.annotation_lineage.name,string,in exact_match contains_phrase contains_words exists,Members of the annotation lineage as parent class names.
rcsb_uniprot_external_reference.reference_name,string,in exact_match exists,"Allowed Values: IMPC, GTEX, PHAROS"
